image,question,answer
image2609,"Are the thickened alveolar walls infiltrated with lymphocytes and some plasma cells,  which spill over into alveolar spaces?",yes
image2609,"Is a myofiber distended with trypanosomes infiltrated with lymphocytes and some plasma cells,  which are spilling over into alveolar spaces?",no
image2610,Does silver stain demonstrate cup-shaped and round cysts within the exudate?,yes
image2610,Does congo red staining stain demonstrate cup-shaped and round cysts within the exudate?,no
image2611,Is the epithelium above the intact basement membrane delineated from the residual normocellular gland on the upper right in this low-power view?,no
image2611,What is delineated from the residual normocellular gland on the upper right in this low-power view?,a solitary hypercellular adenoma
image2611,What is a solitary hypercellular adenoma delineated from?,the residual normocellular gland on the upper right
image2611,Is a solitary hypercellular adenoma delineated from the residual normocellular gland on the upper right in this low-power view?,yes
image2612,Are congo red staining hyaline arteriolosclerosis and intimal thickening of small blood vessels in the glomerular tuft?,no
image2612,"Do liver cells include sclerosed glomeruli, tubular atrophy and fine interstitial fibrosis?",no
image2612,"What include sclerosed glomeruli, tubular atrophy and fine interstitial fibrosis?",parenchymal changes
image2612,What do the parenchymal changes include?,sclerosed glomeruli
image2612,What are hyaline arteriolosclerosis and intimal thickening of small blood vessels in the glomerular tuft?,vascular changes
image2612,What are the vascular changes?,hyaline arteriolosclerosis and intimal thickening of small blood vessels in the glomerular tuft
image2612,Are the vascular changes hyaline arteriolosclerosis and intimal thickening of small blood vessels in the glomerular tuft?,yes
image2612,"Do the parenchymal changes include sclerosed glomeruli, tubular atrophy and fine interstitial fibrosis?",yes
image2613,What does the tumour show?,admixture of spindle-shaped pleomorphic cells forming storiform pattern and histiocyte-like round to oval cells
image2613,Does the tumour show admixture of spindle-shaped pleomorphic cells forming storiform pattern and histiocyte-like round to oval cells?,yes
image2613,Does Ziehl-Neelsen show admixture of spindle-shaped pleomorphic cells forming storiform pattern and histiocyte-like round to oval cells?,no
image2613,What shows admixture of spindle-shaped pleomorphic cells forming storiform pattern and histiocyte-like round to oval cells?,tumour
image2614,Are defects in any of the six well-differentiated adenocarcinoma showing closely packed glands with cytologic atypia?,no
image2614,Is the most common histologic pattern well-differentiated adenocarcinoma showing closely packed glands with cytologic atypia?,yes
image2614,What is the most common histologic pattern?,well-differentiated adenocarcinoma showing closely packed glands with cytologic atypia
image2614,What is well-differentiated adenocarcinoma showing closely packed glands with cytologic atypia?,the most common histologic pattern
image2615,What is seen on the posterior aspect (lower left)?,carcinomatous tissue
image2615,Where is carcinomatous tissue seen ?,on the posterior aspect
image2615,Is higher-power photomicrograph seen on the posterior aspect (lower left)?,no
image2615,Is carcinomatous tissue seen on the posterior aspect (lower left)?,yes
image2616,What does the lumen contain?,necrotic debris
image2616,Does the centres of whorls of smooth muscle and connective tissue contain necrotic debris?,no
image2616,Does the lumen contain necrotic debris?,yes
image2616,What contains necrotic debris?,lumen
image2616,Does the lesions show an outpouching which on section is seen communicating with the intestinal lumen?,no
image2616,What shows an outpouching which on section is seen communicating with the intestinal lumen?,resected segment of the small intestine
image2617,"Did a wide-eyed,  staring gaze,  caused by overactivity of the sympathetic nervous system,  show mostly small,  blue,  primitive-appearing tumor cells?",no
image2617,What did the microscopic appearance of medulloblastoma show?,small
image2617,"Did microscopic appearance of medulloblastoma show mostly small,  blue,  primitive-appearing tumor cells?",yes
image2618,Are characteristic microscopic features irregular lobules of uniform small tumour cells with indistinct cytoplasmic outlines which are separated by fibrous tissue septa having rich vascularity?,yes
image2618,What are also included?,areas of necrosis and inflammatory infiltrate
image2618,Are areas of necrosis and inflammatory infiltrate also included?,yes
image2618,Are the lipofuscin pigment granules also included?,no
image2618,What shows PAS positive tumour cells in perivascular location?,inbox in the right photomicrograph
image2618,Does the cytoplasm show PAS positive tumour cells in perivascular location?,no
image2618,Does Inbox in the right photomicrograph show PAS positive tumour cells in perivascular location?,yes
image2618,What does Inbox in the right photomicrograph show?,pas positive tumour cells in perivascular location
image2619,Does the granulomatous response show minimal variation in nuclear size and occasional follicle formation?,no
image2619,Does high-power detail show minimal variation in nuclear size and occasional follicle formation?,yes
image2619,What shows minimal variation in nuclear size and occasional follicle formation?,high-power detail
image2620,Are the pattern of staining of anti-centromere antibodies filled with a characteristic foamy acellular exudate?,no
image2620,What are filled with a characteristic foamy acellular exudate?,the alveoli
image2620,Are the alveoli filled with a characteristic foamy acellular exudate?,yes
image2620,What are the alveoli filled with?,a characteristic foamy acellular exudate
image2621,"How is Advanced organizing pneumonia,  featuring transformation of exudates to fibromyxoid masses infiltrate?",by macrophages and fibroblasts
image2621,Does advanced organizing pneumonia  feature transformation of exudates to fibromyxoid masses infiltrated by macrophages and fibroblasts?,yes
image2621,What is infiltrated by macrophages and fibroblasts?,fibromyxoid masses
image2622,What is composed of granulation tissue overlaid by degraded blood?,the necrotic ulcer base
image2622,What is the necrotic ulcer base composed of?,granulation tissue overlaid by degraded blood
image2622,Is reversible injury composed of granulation tissue overlaid by degraded blood?,no
image2622,Is the necrotic ulcer base composed of granulation tissue overlaid by degraded blood?,yes
image2623,What are prominent?,intraepithelial and lamina propria neutrophils
image2623,Are histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media prominent?,no
image2623,Are intraepithelial and lamina propria neutrophils prominent?,yes
image2624,"Infiltration of the surface epithelium by T lymphocytes , which can be recognized by whose stained nuclei labeled T ?",their
image2625,How does a Masson trichrome preparation show complete replacement of virtually all glomeruli?,by blue-staining collagen
image2625,What does a Masson trichrome preparation show?,complete replacement of virtually all glomeruli by blue-staining collagen
image2625,What shows complete replacement of virtually all glomeruli by blue-staining collagen?,a masson trichrome preparation
image2625,Does a Masson trichrome preparation show complete replacement of virtually all glomeruli by blue-staining collagen?,yes
image2625,Does there show complete replacement of virtually all glomeruli by blue-staining collagen?,no
image2626,Are the upper parts of both lungs present in the putamen and thalamus?,no
image2626,Are abscesses present in the putamen and thalamus?,yes
image2626,Where are abscesses present?,in the putamen and thalamus
image2626,What are present in the putamen and thalamus?,abscesses
image2627,Is abscesses due to the presence of melanin?,no
image2627,What is due to the presence of melanin?,the dark color of the tumor nodules
image2627,Are congenital capillary hemangioma at 2 years of age after the lesion distinguished grossly from most primary central nervous system tumors by their multicentricity and well-demarcated margins?,no
image2627,Are metastatic lesions distinguished grossly from most primary central nervous system tumors by their multicentricity and well-demarcated margins?,yes
image2627,By whose multicentricity are metastatic lesions distinguished grossly from most primary central nervous system tumors?,metastatic grossly from most primary central nervous system tumors by their and well-demarcated margins
image2627,Is the dark color of the tumor nodules in this specimen due to the presence of melanin?,yes
image2627,What is the dark color of the tumor nodules in this specimen due to?,the presence of melanin
image2627,Metastatic lesions are distinguished grossly from most primary central nervous system tumors by whose multicentricity and well-demarcated margins ?,their
image2627,What are distinguished grossly from most primary central nervous system tumors by their multicentricity and well-demarcated margins?,metastatic lesions
image2628,What is there of the nuclear chromatin which is eventually extruded from the cell at the late erythroblast stage?,progressive condensation of the nuclear chromatin
image2628,Is there progressive condensation of the nuclear chromatin which is eventually extruded from the cell at the late erythroblast stage?,yes
image2628,Does the cytoplasm contain progressively less rna and more haemoglobin?,yes
image2628,What does the cytoplasm contain?,progressively less rna and more haemoglobin
image2628,Does the circle shown with red line contain progressively less rna and more haemoglobin?,no
image2628,What contains progressively less rna and more haemoglobin?,the cytoplasm 
image2629,"What shows crescent shaped elongated red blood cells, a few target cells and a few erythroblasts?",pbf
image2629,"Does pbf show crescent shaped elongated red blood cells, a few target cells and a few erythroblasts?",yes
image2629,"Does the peripheral zone show crescent shaped elongated red blood cells, a few target cells and a few erythroblasts?",no
image2630,Does rest of the kidney have reniform contour?,yes
image2630,"Does the margin of the colony show irregular, circumscribed, yellowish mass with areas of haemorrhages and necrosis?",no
image2630,What shows a large and tan mass while rest of the kidney has reniform contour?,upper pole of the kidney
image2630,What has reniform contour?,rest of the kidney
image2630,What does the upper pole of the kidney show?,a large and tan mass
image2630,Does the upper pole of the kidney show a large and tan mass while rest of the kidney has reniform contour?,yes
image2630,"Does sectioned surface show irregular, circumscribed, yellowish mass with areas of haemorrhages and necrosis?",yes
image2630,Does mucicarmine show a large and tan mass while rest of the kidney has reniform contour?,no
image2630,"What shows irregular, circumscribed, yellowish mass with areas of haemorrhages and necrosis?",sectioned surface
image2630,How does sectioned surface show?,irregular
image2630,Does their lumina have reniform contour?,no
image2630,What does rest of the kidney have?,reniform contour
image2631,Does the wedge-shaped infarct show atrophy of some tubules and dilatation of others which contain colloid casts thyroidisation?,no
image2631,What do the glomeruli show?,periglomerular fibrosis
image2631,Are the tubules surrounded by abundant fibrous tissue and chronic interstitial inflammatory reaction?,yes
image2631,Are trophozoites of entamoeba histolytica included thick-walled?,no
image2631,Are the blood vessels included are thick-walled?,yes
image2631,What show periglomerular fibrosis?,glomeruli
image2631,What included are thick-walled?,blood vessels
image2631,Do the external surface of small intestine show periglomerular fibrosis?,no
image2631,Do the glomeruli show periglomerular fibrosis?,yes
image2631,What shows atrophy of some tubules and dilatation of others which contain colloid casts thyroidisation?,scarred area
image2631,What does the scarred area show?,atrophy of some tubules and dilatation of others which contain colloid casts thyroidisation
image2631,Does the scarred area show atrophy of some tubules and dilatation of others which contain colloid casts thyroidisation?,yes
image2631,What are surrounded by abundant fibrous tissue and chronic interstitial inflammatory reaction?,tubules
image2631,What are the tubules surrounded by?,abundant fibrous tissue and chronic interstitial inflammatory reaction
image2631,Are the capillary walls surrounded by abundant fibrous tissue and chronic interstitial inflammatory reaction?,no
image2632,Are spiral-shaped Helicobacter pylori bacilli highlighted in this Warthin-Starry silver stain?,yes
image2632,What are highlighted in this Warthin-Starry silver stain?,spiral-shaped helicobacter pylori bacilli
image2632,Are iron deposits shown by a special staining process abundant within surface mucus?,no
image2632,How are spiral-shaped Helicobacter pylori bacilli?,highlighted in this warthin-starry silver stain
image2632,Is the atrium highlighted in this Warthin-Starry silver stain?,no
image2632,Are organisms abundant within surface mucus?,yes
image2632,What are organisms abundant within?,surface mucus
image2632,What are abundant within surface mucus?,organisms
image2633,"Are 3 components: ghon 's focus, lined by cuboidal to tall columnar and mucin-secreting tumour cells with papillary growth pattern?",no
image2633,Are the alveolar walls lined by cuboidal to tall columnar and mucin-secreting tumour cells with papillary growth pattern?,yes
image2633,What are the alveolar walls lined by?,cuboidal to tall columnar and mucin-secreting tumour cells with papillary growth pattern
image2633,What are lined by cuboidal to tall columnar and mucin-secreting tumour cells with papillary growth pattern?,alveolar walls
image2634,Are the alveoli and respiratory bronchioles surrounding the coal macule distended?,yes
image2634,What are distended?,alveoli and respiratory bronchioles surrounding the coal macule
image2634,Are particles at the end of the smear seen surrounding respiratory bronchioles?,no
image2634,Are coal macules composed of aggregates of dust-laden macrophages and collagens seen surrounding respiratory bronchioles?,yes
image2634,What are coal macules composed of?,aggregates of dust-laden macrophages and collagens are seen surrounding respiratory bronchioles
image2634,What are seen surrounding respiratory bronchioles?,coal macules composed of aggregates of dust-laden macrophages and collagens
image2634,Are the chambers distended?,no
image2635,"Are large parts of the lung parenchyma replaced by multiple, variable-sized, circumscribed nodular masses which are grey-white in colour?",yes
image2635,"What are replaced by multiple, variable-sized, circumscribed nodular masses which are grey-white in colour?",large parts of the lung parenchyma
image2635,What are large parts of the lung parenchyma replaced by?,multiple
image2636,"Is there increased fibrosis in the red pulp, capsule and the trabeculae?",yes
image2636,What are dilated and congested?,the sinuses
image2636,"Is the necrosed area on right side of the field increased fibrosis in the red pulp, capsule and the trabeculae?",no
image2636,Are the sinuses dilated and congested?,yes
image2636,Is part of the oesophagus which is normally lined by squamous epithelium also seen?,no
image2636,Are the nuclei dilated and congested?,no
image2636,Is gamna-gandy body also seen?,yes
image2636,"What is there increased in the red pulp, capsule and the trabeculae?",fibrosis trabeculae
image2637,Is pidural haematoma multilobulated with increased fat while lower part of the image shows a separate encapsulated gelatinous mass?,no
image2637,Is the main mass multilobulated with increased fat while lower part of the image shows a separate encapsulated gelatinous mass?,yes
image2637,What is the main mass multilobulated with?,increased fat while lower part of the image shows a separate encapsulated gelatinous mass
image2637,What is multilobulated with increased fat while lower part of the image shows a separate encapsulated gelatinous mass?,main mass
image2637,Does Hurthle show a separate encapsulated gelatinous mass?,no
image2637,What does lower part of the image show?,a separate encapsulated gelatinous mass
image2637,What shows a separate encapsulated gelatinous mass?,lower part of the image
image2637,What shows circumscribed?,cut surface of both the masses
image2637,Does lower part of the image show a separate encapsulated gelatinous mass?,yes
image2637,Do collections of histiocytes show circumscribed?,no
image2637,Does the masses show circumscribed?,no
image2638,What shows a well-differentiated tumour composed of spindle-shaped cells forming interlacing fascicles producing a typical Herring-bone pattern?,microscopy
image2638,What does microscopy show?,microscopy
image2638,Does microscopy show a well-differentiated tumour composed of spindle-shaped cells forming interlacing fascicles producing a typical Herring-bone pattern?,yes
image2638,Does the necrotic tissue show a well-differentiated tumour composed of spindle-shaped cells forming interlacing fascicles producing a typical Herring-bone pattern?,no
image2638,What are also seen?,a few mitotic figures
image2638,Are a few mitotic figures also seen?,yes
image2639,What do a few areas show?,superficial invasive islands of malignant cells
image2639,"Is there keratosis, irregular stratification, cellular pleomorphism, increased and abnormal mitotic figures and individual cell keratinisation, while a few areas show superficial invasive islands of malignant cells in the subepithelial soft tissues?",yes
image2639,Do the squamous cells show superficial invasive islands of malignant cells in the subepithelial soft tissues?,no
image2639,Do a few areas show superficial invasive islands of malignant cells in the subepithelial soft tissues?,yes
image2639,What show superficial invasive islands of malignant cells in the subepithelial soft tissues?,a few areas
image2640,"Did histologic view of the nodular stage demonstrate sheets of plump,  proliferating spindle cells and slitlike vascular spaces?",yes
image2640,"What demonstrate sheets of plump,  proliferating spindle cells and slitlike vascular spaces?",histologic view of the nodular stage
image2640,"Did periodic acid-schiff demonstrate sheets of plump,  proliferating spindle cells and slitlike vascular spaces?",no
image2641,How does microscopy show characteristic lining of the cyst wall?,by epidermis and its appendages
image2641,Are etastatic carcinomatous deposits in the also seen?,no
image2641,Are islands of mature cartilage also seen?,yes
image2641,What are also seen?,islands of mature cartilage
image2641,Does mall show characteristic lining of the cyst wall by epidermis and its appendages?,no
image2641,Microscopy shows characteristic lining of the cyst wall by epidermis and whose appendages ?,its
image2641,Does microscopy show characteristic lining of the cyst wall by epidermis and its appendages?,yes
image2641,What shows characteristic lining of the cyst wall by epidermis and its appendages?,microscopy
image2642,Is ziehl-neelsen or afb parallel to the increasing severity of grades?,no
image2642,Do the grades of CIN-1 or mild dysplasia show progressive increase in the number of abnormal cells parallel to the increasing severity of grades?,yes
image2643,Does the greenish discoloration not occur in the absence of appropriate T-cell-mediated immunity?,no
image2643,Does mycobacterium avium infection in a duodenal biopsy from a patient with AIDS show massive intracellular macrophage infection with acid-fast organisms filamentous and pink in this acid-fast stain preparation?,yes
image2643,What does not occur in the absence of appropriate T-cell-mediated immunity?,granulomatous host response
image2643,Does granulomatous host response not occur in the absence of appropriate T-cell-mediated immunity?,yes
image2643,What shows massive intracellular macrophage infection with acid-fast organisms (filamentous and pink in this acid-fast stain preparation)?,mycobacterium avium infection
image2643,What does mycobacterium avium infection in a duodenal biopsy from a patient with AIDS show?,massive intracellular macrophage infection with acid-fast organisms
image2643,What is AIDS?,acquired immunodeficiency syndrome
image2643,Are there inadequate T cells to mount a granulomatous response?,yes
image2644,Does the renal glomerulus show markedly thickend glomerular basement membrane in a diabetic?,yes
image2645,"Are the cells large, with round to convoluted nuclei having high n/c ratio and no cytoplasmic granularity?",yes
image2645,"What are large, with round to convoluted nuclei having high n/c ratio and no cytoplasmic granularity?",the cells
image2645,"Are iseases large, with round to convoluted nuclei having high n/c ratio and no cytoplasmic granularity?",no
image2646,Is hematoxylin-eosin seen in small arteries?,no
image2646,Where is plexiform lesion characteristic of advanced pulmonary hypertension seen?,in small arteries
image2646,What is seen in small arteries?,plexiform lesion
image2646,Is plexiform lesion characteristic of advanced pulmonary hypertension seen in small arteries?,yes
image2647,"What is there, especially around small blood vessels in the interstitium?",patchy myocardial fibrosis
image2647,"Is an intimal patchy myocardial fibrosis, especially around small blood vessels in the interstitium?",no
image2647,"Is there patchy myocardial fibrosis, especially around small blood vessels in the interstitium?",yes
image2647,What is there?,patchy myocardial fibrosis
image2648,Where is the end of the long bone expanded?,in region of epiphysis
image2648,What is the end of the long bone expanded in?,region of epiphysis
image2648,Is the end of the long bone expanded in the region of epiphysis?,yes
image2648,What is expanded in the region of epiphysis?,end of the long bone
image2648,"Does the sectioned surface of rectal wall show circumscribed, dark tan, haemorrhagic and necrotic tumour?",no
image2648,"Does sectioned surface show circumscribed, dark tan, haemorrhagic and necrotic tumour?",yes
image2648,"What shows circumscribed, dark tan, haemorrhagic and necrotic tumour?",sectioned surface
image2648,Is section from margin of amoebic ulcer expanded in the region of epiphysis?,no
image2649,What did the collection of microglial cells form?,a poorly defined nodule
image2649,Did the cysts form a poorly defined nodule?,no
image2649,Did collection of microglial cells form a poorly defined nodule?,yes
image2649,What form a poorly defined nodule?,collection of microglial cells
image2650,Did onsumption of tobacco in india open appendix showing impacted faecolith in the lumen and exudate on the serosa?,no
image2650,Did gross appearance of longitudinally open appendix showing impacted faecolith in the lumen and exudate on the serosa?,yes
image2651,What is subacute endocarditis caused by?,streptococcus viridans on a previously myxomatous mitral valve
image2651,How is subacute endocarditis caused?,by streptococcus viridans on a previously myxomatous mitral valve
image2651,Is subacute endocarditis caused by streptococcus viridans on a previously myxomatous mitral valve?,yes
image2651,Is the transmural light area in the posterolateral left ventricle caused by streptococcus viridans on a previously myxomatous mitral valve?,no
image2651,What is caused by Streptococcus viridans on a previously myxomatous mitral valve?,subacute endocarditis
image2652,Do the white circles stain?,no
image2652,"Does microscopic appearance of the thickened endocardium,  which contains smooth muscle cells and abundant acid mucopolysaccharides blue-green in this Movat stain?",yes
image2653,Are the principal cellular alterations that characterize reversible cell injury and necrosis illustrated?,yes
image2653,"How is reversible injury considered to do if the injurious stimulus is not removed, by convention?",culminate in necrosis
image2653,Is reversible injury considered to culminate in necrosis if the injurious stimulus is not removed by convention?,yes
image2653,"What is considered to culminate in necrosis if the injurious stimulus is not removed, by convention?",reversible injury
image2653,Are methylation of particular histone residues illustrated?,no
image2653,What are illustrated?,the principal cellular alterations that characterize reversible cell injury and necrosis
image2654,Where is the atrium shown?,on the right in this four-chamber view of the heart
image2654,Is low-power view of a cross section of a skin blister showing the epidermis marked concentric thickening of the left ventricular wall causing reduction in lumen size?,no
image2654,Is there marked concentric thickening of the left ventricular wall causing reduction in lumen size?,yes
image2654,What is causing reduction in lumen size?,concentric thickening of the left ventricular wall
image2654,What is concentric thickening of the left ventricular wall causing?,reduction in lumen size
image2654,What are shown on the right in this four-chamber view of the heart?,the left ventricle and left atrium
image2654,Where is the pacemaker?,in the right ventricle
image2654,Are the extensive subcutaneous fibrosis shown on the right in this four-chamber view of the heart?,no
image2654,Are the left ventricle and left atrium shown on the right in this four-chamber view of the heart?,yes
image2654,Are this degree of external dysmorphogenesis left atrium shown on the right in this four-chamber view of the heart?,no
image2654,What is presented incidentally in the right ventricle?,a pacemaker
image2654,Is a pacemaker presented incidentally in the right ventricle?,yes
image2654,Is cohesive tumor in retina presented incidentally in the right ventricle?,no
image2654,Is the atrium shown on the right in this four-chamber view of the heart?,yes
image2655,Does photomicrograph on right under higher magnification begin as a focus of microabscess in a vascular loop in the marrow which expands to stimulate?,no
image2655,Does process begin as a focus of microabscess in a vascular loop in the marrow which expands to stimulate?,yes
image2655,What does process begin as?,a focus of microabscess in a vascular loop in the marrow which expands to stimulate
image2655,What begins as a focus of microabscess in a vascular loop in the marrow which expands to stimulate?,process
image2655,Is the cyst wall beginning of reactive woven bone formation by the periosteum?,no
image2655,What expands further causing necrosis of the cortex called sequestrum?,abscess
image2655,What does the abscess expand?,further causing necrosis of the cortex called sequestrum
image2655,Does the abscess expand further causing necrosis of the cortex called sequestrum?,yes
image2655,What is there of reactive woven bone formation by the periosteum?,beginning
image2655,Do the alveolar walls expand further causing necrosis of the cortex called sequestrum?,no
image2655,What is called involucrum?,formation of viable new reactive bone surrounding the sequestrum
image2655,What is the formation of viable new reactive bone surrounding the sequestrum called?,involucrum
image2655,Does part of the endocervical mucosa produce a draining sinus?,no
image2655,"Does the extension of infection into the joint space, epiphysis and the skin produce a draining sinus?",yes
image2655,"What does the extension of infection into the joint space, epiphysis and the skin produce?",a draining sinus
image2655,What produces a draining sinus?,extension of infection into the joint space
image2655,Is the formation of viable new reactive bone surrounding the sequestrum called involucrum?,yes
image2655,Is an asbestos body called involucrum?,no
image2655,Is there beginning of reactive woven bone formation by the periosteum?,yes
image2656,What shows lobulated mass with bluish cartilaginous hue infiltrating the soft tissues?,sectioned surface
image2656,Why is the bone expanded?,due to a gelatinous tumour
image2656,What is expanded externally due to a gelatinous tumour?,bone
image2656,Is the bone expanded externally due to a gelatinous tumour?,yes
image2656,Is the basal layer expanded externally due to a gelatinous tumour?,no
image2656,Does sectioned surface show lobulated mass with bluish cartilaginous hue infiltrating the soft tissues?,yes
image2656,Does the amputated head of the long bone show lobulated mass with bluish cartilaginous hue infiltrating the soft tissues?,no
image2656,How does sectioned surface show lobulated mass?,with bluish cartilaginous hue infiltrating the soft tissues
image2657,What represents cell cycle for stable cells?,circle shown with yellow-orange line
image2657,Does adp represent cell cycle for permanent cells?,no
image2657,Does the particle represent cell cycle for stable cells?,no
image2657,What represents cell cycle for labile cells?,the particle
image2657,Does the circle shown with red line represent cell cycle for permanent cells?,yes
image2657,Does the inner circle shown with green line represent cell cycle for labile cells?,yes
image2657,Does amyloid represent cell cycle for labile cells?,no
image2657,What represents cell cycle for permanent cells?,circle shown with red line
image2657,What is the circle shown with?,red line represents cell cycle for permanent cells
image2657,What is the inner circle shown with?,green line
image2657,Does circle shown with yellow-orange line represent cell cycle for stable cells?,yes
image2658,Are the nucleus lined by normal columnar epithelium while foci of metaplastic squamous epithelium are seen at other places?,no
image2658,Is part of the endocervical mucosa lined by normal columnar epithelium while foci of metaplastic squamous epithelium are seen at other places?,yes
image2658,What is part of the endocervical mucosa lined by?,normal columnar epithelium
image2658,What is lined by normal columnar epithelium while foci of metaplastic squamous epithelium are seen at other places?,part of the endocervical mucosa
image2658,Where are foci of metaplastic squamous epithelium seen?,at other places
image2658,Are foci of metaplastic squamous epithelium seen at other places?,yes
image2659,There is narrowing of the lumen of coronary due to fully developed atheromatous plaque which has dystrophic calcification in whose core ?,its
image2659,Is there narrowing of the lumen of coronary due to fully developed atheromatous plaque which has dystrophic calcification in its core?,yes
image2659,Is the alveolar septa narrowing of the lumen of coronary due to fully developed atheromatous plaque which has dystrophic calcification in its core?,no
image2660,Did haphazard crypt organization result in acute adrenal insufficiency?,no
image2660,Did bilateral adrenal hemorrhage in an infant with overwhelming sepsis result in acute adrenal insufficiency?,yes
image2660,What did bilateral adrenal hemorrhage in an infant with overwhelming sepsis result in?,acute adrenal insufficiency
image2660,What result in acute adrenal insufficiency?,bilateral adrenal hemorrhage
image2660,Is the tissue discernible in this photomicrograph?,no
image2660,What were grossly hemorrhagic and shrunken at autopsy?,the adrenal glands
image2660,Were the adrenal glands grossly hemorrhagic and shrunken at autopsy?,yes
image2660,What is discernible in this photomicrograph?,little residual cortical architecture
image2660,Is little residual cortical architecture discernible in this photomicrograph?,yes
image2661,Is this more cellular and disorganized than Fig.654?,yes
image2662,What does the stratum corneum around the hair follicle show?,presence of numerous arthrospores and hyphae
image2662,Does the stratum corneum around the hair follicle show presence of numerous arthrospores and hyphae?,yes
image2662,Does the smear show presence of numerous arthrospores and hyphae?,no
image2662,What shows presence of numerous arthrospores and hyphae?,stratum corneum around the hair follicle
image2663,What are nodular masses of calcium heaped up within?,the sinuses valsalva
image2663,One cusp has a partial fusion at whose center ?,its
image2663,"Are note bowing of legs as a consequence of the formation of poorly not fused,  as in rheumatic aortic valve stenosis?",no
image2663,"Are the commissures not fused,  as in rheumatic aortic valve stenosis?",yes
image2663,Are nodular masses of calcium heaped up within the sinuses of Valsalva?,yes
